State,Crop,Year,Unit,Value
U.S.,Soybeans,2000,Percent of all soybeans planted,54
U.S.,Soybeans,2001,Percent of all soybeans planted,68
U.S.,Soybeans,2002,Percent of all soybeans planted,75
U.S.,Soybeans,2003,Percent of all soybeans planted,81
U.S.,Soybeans,2004,Percent of all soybeans planted,85
U.S.,Soybeans,2005,Percent of all soybeans planted,87
U.S.,Soybeans,2006,Percent of all soybeans planted,89
U.S.,Soybeans,2007,Percent of all soybeans planted,91
U.S.,Soybeans,2008,Percent of all soybeans planted,92
U.S.,Soybeans,2009,Percent of all soybeans planted,91
U.S.,Soybeans,2010,Percent of all soybeans planted,93
U.S.,Soybeans,2011,Percent of all soybeans planted,94
U.S.,Soybeans,2012,Percent of all soybeans planted,93
U.S.,Soybeans,2013,Percent of all soybeans planted,93
U.S.,Soybeans,2014,Percent of all soybeans planted,94
U.S.,Soybeans,2015,Percent of all soybeans planted,94
U.S.,Soybeans,2016,Percent of all soybeans planted,94